t,u,Wa,Wb,pH
64217.597296603,2.7221571527059,-0.000370166779924236,0.000539668441959301,6.68930514927069
64220,1.29526552804525,-0.000343699145974874,0.000544504700044782,6.58381701886367
64222.402703397,1.29526552804525,-0.000314486653956449,0.000549842508138678,6.47661307018098
64225,19.5277298565617,-0.000283405461316023,0.000555521771706446,6.36874516317592
64227.597296603,19.5277298565617,-0.000297240408954021,0.000552993801979176,6.41621427418302
64230,2.55569923322448,-0.000309664570693392,0.000550723615955661,6.45955676760797
64232.402703397,2.55569923322448,-0.0002838156443128,0.000555446821643345,6.37014320523741
64235,23.637012803758,-0.000256342807558326,0.000560466753879793,6.27722863201625
64237.597296603,23.637012803758,-0.00028097990266363,0.000555964978215456,6.36048766789468
64240,7.27419276129184,-0.000303032092482775,0.000551935525430992,6.43632001473914
64242.402703397,7.27419276129184,-0.000287939368951941,0.000554693320341848,6.38422675688251
64245,7.3577390319471,-0.000271962941273962,0.000557612588746518,6.32991345423909
64247.597296603,7.3577390319471,-0.000256542998273878,0.000560430174336319,6.27790288675872
64250,1.51990993484851,-0.000242559393416265,0.00056298530722754,6.23077089144207
64252.402703397,1.51990993484851,-0.00021539434734822,0.000567948998879782,6.13823657909835
64255,15.1262749988242,-0.000186497127412858,0.00057322919936267,6.03632917899882
64257.597296603,15.1262749988242,-0.000192460057686166,0.000572139632014014,6.05778800693982
64260,7.3039052390046,-0.000197833861856315,0.000571157711834924,6.07691171164446
64262.402703397,7.3039052390046,-0.000184904942719178,0.000573520128884863,6.03055326390592
64265,26.7353519502726,-0.000171219360320713,0.000576020806076324,5.97999274599853
64267.597296603,26.7353519502726,-0.000206549473295204,0.000569565165014458,6.10754925342508
64270,1.06022823185671,-0.000238094669429075,0.000563801117115334,6.21568265396373
64272.402703397,1.06022823185671,-0.000209931049718215,0.000568947271614964,6.11932527886092
64275,29.2558928156532,-0.000179959799176163,0.000574423722703992,6.0124800495586
64277.597296603,29.2558928156532,-0.000221156386590276,0.00056689613903871,6.15804740594053
64280,3.79055268307708,-0.000257865771104771,0.000560188472686248,6.28235822231223
64282.402703397,3.79055268307708,-0.000235690244391993,0.000564240462016677,6.20754327625656
64285,17.8189444764605,-0.000212146435229565,0.000568542468672907,6.12701008084459
64287.597296603,17.8189444764605,-0.000224046741653234,0.000566368003313772,6.16793948695017
64290,22.9998158724046,-0.00023474818220669,0.000564412598894098,6.20435118861151
64292.402703397,22.9998158724046,-0.000256864191325546,0.000560371484825335,6.27898469493363
64295,7.90536750476126,-0.000279965042922495,0.000556150416915335,6.35703735913772
64297.597296603,7.90536750476126,-0.00026571313778098,0.000558754574567132,6.30880632952674
64300,25.511652522493,-0.000252794474844461,0.000561115117568441,6.26527752544254
64302.402703397,25.511652522493,-0.000279945907839012,0.00055615391334431,6.35697232902062
64305,14.3439455397166,-0.000308246430302441,0.000550982743497809,6.45456761450424
64307.597296603,14.3439455397166,-0.000308895212085423,0.000550864195835044,6.45684862947937
64310,28.6926860169939,-0.000309480262847583,0.000550757293325954,6.45890768646664
64312.402703397,28.6926860169939,-0.000341633632371005,0.00054488211787088,6.575971094365
64315,17.9738876167563,-0.000375058202655518,0.000538774664193622,6.71001651088447
64317.597296603,17.9738876167563,-0.000382345385793264,0.000537443124758035,6.74174505106675
64320,17.1291748234672,-0.000388897626619637,0.000536245876536484,6.77126957212431
